,MN_EARN_WNE_P6
0,28400.0
1,39400.0
2,35400.0
3,40300.0
4,24400.0
5,42400.0
6,25900.0
7,36200.0
8,32100.0
9,43100.0
10,36700.0
11,26000.0
12,32500.0
13,33700.0
14,26600.0
15,33400.0
16,24300.0
17,32035.23115463448
18,24900.0
19,29200.0
20,23000.0
21,30100.0
22,34600.0
23,21500.0
24,31800.0
25,29400.0
26,27000.0
27,26300.0
28,22700.0
29,29700.0
30,25500.0
31,33600.0
32,23100.0
33,32700.0
34,28000.0
35,25600.0
36,32100.0
37,26200.0
38,25800.0
39,25300.0
40,23500.0
41,45200.0
42,25900.0
43,25700.0
44,35100.0
45,34800.0
46,24900.0
47,24200.0
48,24400.0
49,34300.0
50,34500.0
51,35700.0
52,26600.0
53,41500.0
54,36500.0
55,35200.0
56,37500.0
57,43200.0
58,30500.0
59,27200.0
60,20500.0
61,28800.0
62,28800.0
63,28800.0
64,32035.23115463448
65,25200.0
66,21400.0
67,42200.0
68,25600.0
69,41800.0
70,28300.0
71,17900.0
72,27000.0
73,18500.0
74,19600.0
75,29100.0
76,51400.0
77,31300.0
78,36000.0
79,36700.0
80,32900.0
81,27400.0
82,33600.0
83,19000.0
84,36900.0
85,24400.0
86,41600.0
87,29600.0
88,28700.0
89,28700.0
90,28700.0
91,28500.0
92,37200.0
93,35100.0
94,25200.0
95,34900.0
96,28700.0
97,32600.0
98,37000.0
99,16800.0
100,29000.0
101,34600.0
102,68000.0
103,21000.0
104,32035.23115463448
105,32035.23115463448
106,31400.0
107,17900.0
108,32035.23115463448
109,40900.0
110,23900.0
111,26600.0
112,30900.0
113,31600.0
114,27300.0
115,18500.0
116,46200.0
117,25600.0
118,32600.0
119,34200.0
120,23800.0
121,24200.0
122,22300.0
123,19600.0
124,16300.0
125,24900.0
126,26400.0
127,35600.0
128,29300.0
129,35100.0
130,32035.23115463448
131,32035.23115463448
132,45300.0
133,18900.0
134,15500.0
135,22200.0
136,26000.0
137,32035.23115463448
138,25000.0
139,30500.0
140,34600.0
141,25700.0
142,22600.0
143,28700.0
144,28600.0
145,23600.0
146,21000.0
147,24000.0
148,32035.23115463448
149,25100.0
150,26300.0
151,22100.0
152,17200.0
153,12600.0
154,32035.23115463448
155,29300.0
156,28800.0
157,30400.0
158,26400.0
159,30700.0
160,32800.0
161,29000.0
162,27200.0
163,21200.0
164,32035.23115463448
165,27400.0
166,27900.0
167,25100.0
168,48800.0
169,20500.0
170,19600.0
171,48300.0
172,27000.0
173,26000.0
174,20400.0
175,32035.23115463448
176,38700.0
177,40500.0
178,34800.0
179,29300.0
180,38300.0
181,29300.0
182,40000.0
183,36200.0
184,68500.0
185,43700.0
186,54700.0
187,60000.0
188,39100.0
189,39300.0
190,37400.0
191,42900.0
192,42900.0
193,38300.0
194,37200.0
195,38500.0
196,45200.0
197,40000.0
198,37200.0
199,37400.0
200,41800.0
201,57600.0
202,45300.0
203,44300.0
204,52000.0
205,36800.0
206,48200.0
207,42800.0
208,38400.0
209,32035.23115463448
210,21300.0
211,34200.0
212,76700.0
213,35500.0
214,34000.0
215,21500.0
216,40200.0
217,23400.0
218,23400.0
219,23400.0
220,23400.0
221,23400.0
222,23400.0
223,27900.0
224,25400.0
225,31900.0
226,28200.0
227,46900.0
228,73200.0
229,40800.0
230,31000.0
231,26600.0
232,31600.0
233,68200.0
234,21200.0
235,33800.0
236,32700.0
237,37600.0
238,24800.0
239,25700.0
240,26900.0
241,26800.0
242,29200.0
243,27500.0
244,30100.0
245,33200.0
246,26500.0
247,31400.0
248,37100.0
249,21400.0
250,28400.0
251,33700.0
252,33700.0
253,54200.0
254,26800.0
255,26800.0
256,29600.0
257,30400.0
258,37300.0
259,37300.0
260,25400.0
261,28100.0
262,44000.0
263,25100.0
264,38400.0
265,28900.0
266,27900.0
267,39700.0
268,28600.0
269,31700.0
270,72900.0
271,29400.0
272,29000.0
273,17900.0
274,28000.0
275,87200.0
276,49000.0
277,30200.0
278,29500.0
279,22600.0
280,31100.0
281,40000.0
282,24500.0
283,33600.0
284,20300.0
285,32035.23115463448
286,24000.0
287,32800.0
288,45800.0
289,32200.0
290,25900.0
291,15100.0
292,25900.0
293,25300.0
294,32035.23115463448
295,43600.0
296,71200.0
297,26100.0
298,32035.23115463448
299,30200.0
300,29600.0
301,23300.0
302,25800.0
303,30600.0
304,38600.0
305,25600.0
306,69100.0
307,27700.0
308,30300.0
309,53000.0
310,32035.23115463448
311,17700.0
312,26700.0
313,28000.0
314,32600.0
315,34300.0
316,27100.0
317,42500.0
318,23900.0
319,31000.0
320,40200.0
321,28400.0
322,33900.0
323,19800.0
324,27200.0
325,32035.23115463448
326,47900.0
327,28700.0
328,35000.0
329,30800.0
330,57700.0
331,26000.0
332,26200.0
333,38800.0
334,27300.0
335,51900.0
336,39200.0
337,22700.0
338,17500.0
339,27500.0
340,24600.0
341,27400.0
342,49000.0
343,40700.0
344,38100.0
345,30600.0
346,35100.0
347,25800.0
348,36600.0
349,27300.0
350,32035.23115463448
351,39500.0
352,48600.0
353,61000.0
354,23300.0
355,27400.0
356,27800.0
357,54100.0
358,37300.0
359,38700.0
360,43600.0
361,51200.0
362,24900.0
363,17200.0
364,29400.0
365,48700.0
366,24800.0
367,21400.0
368,18300.0
369,30000.0
370,28200.0
371,16300.0
372,29400.0
373,33700.0
374,97200.0
375,26900.0
376,31800.0
377,31000.0
378,41600.0
379,54800.0
380,28400.0
381,32035.23115463448
382,42100.0
383,58500.0
384,27000.0
385,29500.0
386,38400.0
387,29100.0
388,47200.0
389,36500.0
390,23900.0
391,27300.0
392,31900.0
393,63900.0
394,27900.0
395,32800.0
396,44400.0
397,25900.0
398,26100.0
399,29800.0
400,13300.0
401,35400.0
402,35100.0
403,25700.0
404,26400.0
405,36300.0
406,25700.0
407,48600.0
408,29500.0
409,41200.0
410,36500.0
411,40700.0
412,34600.0
413,26400.0
414,45300.0
415,61400.0
416,28500.0
417,30300.0
418,29300.0
419,21300.0
420,28700.0
421,36300.0
422,30200.0
423,25200.0
424,29200.0
425,46100.0
426,27500.0
427,27700.0
428,32600.0
429,29100.0
430,38600.0
431,37500.0
432,37300.0
433,25600.0
434,17000.0
435,28800.0
436,31600.0
437,35700.0
438,26500.0
439,48700.0
440,37300.0
441,43900.0
442,42700.0
443,37600.0
444,35900.0
445,29900.0
446,31400.0
447,35900.0
448,74700.0
449,34800.0
450,39900.0
451,34100.0
452,32600.0
453,29100.0
454,30100.0
455,30900.0
456,49000.0
457,24400.0
458,30500.0
459,33300.0
460,22400.0
461,27800.0
462,34200.0
463,36100.0
464,30700.0
465,19600.0
466,32100.0
467,30800.0
468,35300.0
469,28300.0
470,29000.0
471,27300.0
472,34800.0
473,54100.0
474,30500.0
475,39100.0
476,29500.0
477,28400.0
478,21000.0
479,28100.0
480,21600.0
481,32500.0
482,45200.0
483,31000.0
484,35600.0
485,40800.0
486,48200.0
487,28600.0
488,44400.0
489,31500.0
490,49800.0
491,37600.0
492,31900.0
493,36800.0
494,56500.0
495,25700.0
496,28700.0
497,66700.0
498,25900.0
499,40300.0
500,28000.0
501,30400.0
502,31000.0
503,29500.0
504,28200.0
505,29900.0
506,31900.0
507,35700.0
508,40500.0
509,29500.0
510,26900.0
511,29600.0
512,32100.0
513,40000.0
514,25200.0
515,53800.0
516,47400.0
517,43100.0
518,29500.0
519,38800.0
520,27000.0
521,52000.0
522,30100.0
523,46400.0
524,37800.0
525,67800.0
526,21400.0
527,28300.0
528,30100.0
529,48100.0
530,40200.0
531,21500.0
532,33600.0
533,40800.0
534,46700.0
535,48400.0
536,32800.0
537,25400.0
538,58600.0
539,81100.0
540,39500.0
541,38400.0
542,37400.0
543,31000.0
544,29300.0
545,43700.0
546,26000.0
547,38600.0
548,26900.0
549,29900.0
550,30200.0
551,27500.0
552,28200.0
553,39900.0
554,26400.0
555,26700.0
556,31800.0
557,27400.0
558,32500.0
559,36000.0
560,31600.0
561,22700.0
562,51400.0
563,31800.0
564,38800.0
565,30800.0
566,34900.0
567,32300.0
568,22300.0
569,24500.0
570,22300.0
571,53500.0
572,46900.0
573,47300.0
574,41500.0
575,29100.0
576,23700.0
577,22500.0
578,20100.0
579,37400.0
580,39700.0
581,47700.0
582,16600.0
583,34200.0
584,23500.0
585,42400.0
586,28300.0
587,29600.0
588,21100.0
589,32035.23115463448
590,25600.0
591,27900.0
592,18100.0
593,27900.0
594,48800.0
595,31200.0
596,15100.0
597,27600.0
598,28000.0
599,27000.0
600,29900.0
601,24700.0
602,24300.0
603,19500.0
604,41700.0
605,28300.0
606,26000.0
607,27100.0
608,35400.0
609,31300.0
610,28800.0
611,54500.0
612,24500.0
613,25200.0
614,28100.0
615,37500.0
616,47800.0
617,27800.0
618,25900.0
619,40600.0
620,29800.0
621,28000.0
622,26800.0
623,25200.0
624,29400.0
625,32035.23115463448
626,20300.0
627,36000.0
628,24600.0
629,40300.0
630,22600.0
631,39200.0
632,31700.0
633,27400.0
634,30100.0
635,27700.0
636,30700.0
637,26800.0
638,28800.0
639,26600.0
640,39400.0
641,44600.0
642,36500.0
643,31200.0
644,16700.0
645,22500.0
646,27700.0
647,21000.0
648,42300.0
649,22600.0
650,23700.0
651,24300.0
652,27700.0
653,29100.0
654,35500.0
655,22800.0
656,31900.0
657,29900.0
658,33600.0
659,19700.0
660,31000.0
661,22200.0
662,25700.0
663,29100.0
664,33200.0
665,23500.0
666,23500.0
667,22600.0
668,27100.0
669,24800.0
670,27100.0
671,19600.0
672,22500.0
673,30200.0
674,24700.0
675,26100.0
676,28400.0
677,25200.0
678,32300.0
679,29800.0
680,41300.0
681,29800.0
682,27500.0
683,26800.0
684,35900.0
685,25100.0
686,31100.0
687,26300.0
688,35100.0
689,28000.0
690,15600.0
691,32500.0
692,26200.0
693,26700.0
694,65500.0
695,30400.0
696,25500.0
697,53900.0
698,66100.0
699,32900.0
700,37500.0
701,36800.0
702,38100.0
703,45200.0
704,27400.0
705,25600.0
706,30700.0
707,24800.0
708,31600.0
709,36100.0
710,27100.0
711,36500.0
712,27500.0
713,30100.0
714,40400.0
715,34600.0
716,22800.0
717,37500.0
718,21400.0
719,40200.0
720,56100.0
721,33500.0
722,24300.0
723,32700.0
724,26200.0
725,36600.0
726,22800.0
727,59900.0
728,34700.0
729,38700.0
730,28000.0
731,25900.0
732,22400.0
733,33200.0
734,27800.0
735,33900.0
736,29300.0
