,SCH_DEG,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,CCBASIC,CCUGPROF,CCSIZSET,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,TUITFTE,INEXPFTE,POOLYRS,POOLYRS200,PCTFLOAN,CDR2,CDR3,COMP_ORIG_YR2_RT,WDRAW_ORIG_YR2_RT,COMP_ORIG_YR3_RT,WDRAW_ORIG_YR3_RT,COMP_ORIG_YR4_RT,WDRAW_ORIG_YR4_RT,COMP_ORIG_YR6_RT,WDRAW_ORIG_YR6_RT,COMP_ORIG_YR8_RT,WDRAW_ORIG_YR8_RT,RPY_1YR_RT,COMPL_RPY_1YR_RT,NONCOM_RPY_1YR_RT,RPY_3YR_RT,COMPL_RPY_3YR_RT,NONCOM_RPY_3YR_RT,RPY_5YR_RT,COMPL_RPY_5YR_RT,NONCOM_RPY_5YR_RT,RPY_7YR_RT,INC_PCT_LO,INC_PCT_M1,INC_PCT_M2,PAR_ED_PCT_PS,DEBT_MDN,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,DEBT_N,GRAD_DEBT_N,WDRAW_DEBT_N,FEMALE_DEBT_N,MALE_DEBT_N,FAMINC,MD_FAMINC,FAMINC_IND,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_HISPANIC,PCT_BA,PCT_GRAD_PROF,PCT_BORN_US,MEDIAN_HH_INC,POVERTY_RATE,UNEMP_RATE,ICLEVEL,UGDS_MEN,UGDS_WOMEN,OPENADMP,FTFTPCTPELL,FTFTPCTFLOAN,CNTOVER150_1YR
1334,2.0,1,1,2,2,1,7.0,2.0,3.0,0.0,4485.0,0.5001,0.3003,0.0896,0.0192,0.002,0.0011,0.0404,0.0078,0.0395,0.6011,5773.0,5409.0,2.0,2.0,0.1168,0.148,0.111,0.177191906806,0.47823421214,0.217905405405,0.461148648649,0.225951903808,0.444388777555,0.248697299858,0.392231170062,0.252753623188,0.210434782609,0.4540662651,0.6493902439,0.39,0.4957746479,0.6704225352,0.4375586854,0.538585209,0.7128712871,0.5047984645,0.6209034544,0.5275147929,0.1707100592,0.1281065089,0.5390596076,5500.0,9403.0,5500.0,5500.0,5500.0,1718.0,478.0,1240.0,1051.0,667.0,39559.933432,27061.0,24470.132716,79.7799987792968,9.57999992370605,2.31999993324279,4.23000001907348,15.8000001907348,7.57000017166137,86.7699966430664,70681.61,6.69000005722046,3.19000005722045,2,0.3953,0.6047,1.0,0.4707,0.169,503.0
1777,3.0,1,1,3,4,1,18.0,11.0,15.0,0.0,11499.0,0.2942,0.2043,0.3332,0.0597,0.0014,0.0017,0.022,0.0237,0.0597,0.1921,9658.0,9690.0,2.0,2.0,0.5697,0.091,0.057,0.193452380952,0.157738095238,0.352643987875,0.17009093971,0.48172652804,0.179269061122,0.534591194969,0.187939326674,0.563909774436,0.154285714286,0.4646789768,0.5824061196,0.3528245788,0.5205956907,0.6326188881,0.4200240529,0.5798762737,0.6870229008,0.4822670376,0.6383647799,0.4530685921,0.1602888087,0.135198556,0.5360151643,17438.0,23472.0,9500.0,17750.0,16326.0,7079.0,3783.0,3296.0,4439.0,2640.0,50748.523827,32770.5,25007.245668,64.6500015258789,19.329999923706,6.65000009536743,16.0499992370605,16.7600002288818,9.5600004196167,75.370002746582,76062.13,7.51999998092651,4.03999996185302,1,0.3873,0.6127,2.0,0.571,0.5896,2730.0
65,1.0,0,24,1,1,3,-2.0,-2.0,-2.0,0.0,368.0,0.3342,0.1087,0.3533,0.0082,0.1196,0.0054,0.0489,0.0,0.0217,0.0027,23363.0,9804.0,2.0,2.0,0.4921,0.306,0.189,0.409972950723,0.413736328355,0.459449630258,0.367923384653,0.461119366023,0.340638930163,0.475774971297,0.266475315729,0.505616983636,0.246970367094,0.142172524,0.1750629723,0.0851528384,0.3413775767,0.3974763407,0.2427184466,0.3602015113,0.3996200127,0.2826899128,0.3815620999,0.7356509144,0.1408654717,0.0731486511,0.4137681159,9500.0,14000.0,6334.0,9834.0,9500.0,16755.0,7628.0,9127.0,12308.0,4447.0,22994.267789,16310.0,19000.177497,63.1399993896484,4.51999998092651,2.56999993324279,35.1800003051757,10.579999923706,5.23999977111816,80.9599990844726,52276.12,15.0299997329711,4.96000003814697,3,0.8913,0.1087,1.0,0.6983,0.6234,6229.0
177,1.0,1,1,1,1,3,-2.0,-2.0,-2.0,0.0,57.0,0.3158,0.0175,0.4737,0.193,0.0,0.0,0.0,0.0,0.0,0.0,10417.0,4649.0,2.0,2.0,0.7591,0.025,0.028,0.82905982906,0.2878495205826216,0.828947368421,0.2819515119424101,0.847682119205,0.276829904139649,0.870967741935,0.253801107928776,0.852071005917,0.1883543183037417,0.5974576271,0.5952380952,0.6153846154,0.6218487395,0.6367924528,0.5,0.6102941176,0.6239669421,0.5,0.5046296296,0.6136363636,0.1818181818,0.1212121212,0.3672316384,9500.0,9500.0,2888.0,12280.061078456429,11445.868898543316,247.0,226.0,21.0,2021.227765726681,1007.708604483008,31042.147727,21841.5,24676.601896,57.75,3.54999995231628,12.8400001525878,40.4300003051757,14.6099996566772,6.67000007629394,68.0500030517578,71944.78,9.43000030517578,3.94000005722045,3,0.9825,0.0175,1.0,0.7811,0.791,194.0
4721,1.0,1,1,1,1,3,-2.0,-2.0,-2.0,0.0,176.0,0.0284,0.8182,0.1023,0.0511,0.0,0.0,0.0,0.0,0.0,0.0,15213.0,5510.0,2.0,2.0,0.4669,0.0913084990168232,0.01,0.593023255814,0.279069767442,0.545454545455,0.242424242424,0.540816326531,0.285714285714,0.487804878049,0.253801107928776,0.4515947604880601,0.1883543183037417,0.4827586207,0.5468781949183574,0.3470241690231884,0.5172413793,0.5846318995346723,0.3894773273565057,0.5153843116427258,0.6295410109199638,0.4355592795536239,0.5626655941568187,0.6158536585,0.2073170732,0.1036585366,0.219858156,9500.0,10160.0,7559.0,9500.0,9500.0,209.0,90.0,119.0,184.0,25.0,31050.182927,24927.0,31287.659574,76.1461475169641,12.59515768395575,2.940960700933222,12.785574950469384,14.37173128372222,7.868002920928614,89.17488898151937,58330.236984473566,10.492974269974278,3.8103905911586704,3,0.1477,0.8523,1.0,0.547,0.6667,94.0
2476,3.0,1,1,3,4,2,18.0,12.0,14.0,0.0,1832.0,0.6174,0.1021,0.1097,0.0562,0.0033,0.0005,0.0459,0.0224,0.0426,0.0344,18018.0,8882.0,2.0,2.0,0.6803,0.032,0.03,0.069841269841,0.119047619048,0.458770614693,0.131934032984,0.187586206897,0.395862068966,0.674571805007,0.073781291173,0.557522123894,0.081120943953,0.6402070751,0.7199367089,0.5445920304,0.6764705882,0.7484756098,0.5933098592,0.7439875873,0.825,0.6535303777,0.7877591313,0.2469927827,0.1251002406,0.1668003208,0.6932989691,22500.0,27000.0,5886.0,23000.0,21500.0,1279.0,836.0,443.0,881.0,398.0,80734.621492,66802.0,12490.988372,81.8300018310547,11.3100004196167,3.11999988555908,4.51999998092651,17.3899993896484,10.3100004196167,91.0999984741211,72830.78,5.78000020980835,3.22000002861023,1,0.3297,0.6703,2.0,0.3573,0.8223,286.0
2888,3.0,1,1,3,4,1,15.0,9.0,15.0,0.0,38116.0,0.2092,0.1017,0.3683,0.2292,0.001,0.0007,0.0324,0.038,0.0195,0.2488,10223.0,8309.0,2.0,2.0,0.3591,0.057,0.044,0.184829879765,0.136863647992,0.390548254348,0.149077392805,0.530482009504,0.136184657162,0.582881253767,0.124171187462,0.545937410278,0.106804478898,0.5708723463,0.7062987838,0.4295187571,0.6189650689,0.7521023125,0.4885915251,0.6712161145,0.8165309956,0.5518601063,0.7200647249,0.4473841555,0.1877428999,0.1487294469,0.5950728661,14000.0,18500.0,8486.0,14000.0,13979.0,13964.0,7796.0,6168.0,7453.0,6511.0,49662.461958,33197.5,23889.68925,62.25,16.9799995422363,6.5,26.2999992370605,19.4899997711181,9.35999965667724,79.9700012207031,68874.27,9.92000007629394,3.81999993324279,1,0.4939,0.5061,2.0,0.4365,0.3636,6349.0
26,2.0,1,1,1,2,1,2.0,1.0,4.0,0.0,6492.0,0.6446,0.154,0.0752,0.0209,0.014,0.0015,0.0608,0.0086,0.0202,0.6129,3577.0,4535.0,2.0,2.0,0.1991,0.186,0.11,0.082185695247,0.529542425589,0.11080835604,0.517257039055,0.127135478745,0.513309495431,0.144662454273,0.47023611573,0.130924855491,0.257225433526,0.3323545115,0.5598591549,0.2916928886,0.38055344,0.6049586777,0.3398320336,0.4175753688,0.6278481013,0.3870730812,0.483627204,0.5484314174,0.1676207923,0.1286924662,0.544656297,5891.0,11500.0,5500.0,6454.0,5500.0,3667.0,504.0,3163.0,2295.0,1372.0,37220.18136,25186.0,23899.065015,75.8499984741211,19.3700008392334,1.14999997615814,2.54999995231628,16.2199993133544,7.88000011444091,95.7300033569336,56005.43,10.1400003433227,3.69000005722045,2,0.425,0.575,1.0,0.4456,0.2595,379.0
2459,3.0,1,1,3,4,2,21.0,10.0,11.0,0.0,1288.0,0.6242,0.0163,0.1553,0.0613,0.0078,0.0047,0.0769,0.0078,0.0458,0.0194,24333.0,16022.0,2.0,2.0,0.4624,0.021,0.008,0.034161490683,0.062111801242,0.692722371968,0.070080862534,0.642673521851,0.136246786632,0.742209631728,0.253801107928776,0.709198813056,0.062314540059,0.7585669782,0.7933333333,0.6770833333,0.7830045524,0.83632287,0.6713615023,0.8733233979,0.9108695652,0.7914691943,0.9066022544,0.2052067381,0.1194486983,0.1653905054,0.808,19000.0,23000.0,8250.0,19500.0,17020.0,702.0,487.0,215.0,398.0,304.0,93653.191424,73572.0,3587.7222222,81.3499984741211,2.15000009536743,6.28999996185302,9.5,20.2999992370605,11.3999996185302,88.5199966430664,68135.42,6.84000015258789,3.67000007629394,1,0.4255,0.5745,2.0,0.248,0.531,272.0
525,3.0,1,1,3,4,2,15.0,14.0,17.0,0.0,4701.0,0.3493,0.091,0.1504,0.2389,0.0028,0.0011,0.0623,0.1004,0.0038,0.0011,18409.0,59736.0,2.0,2.0,0.0735,0.01,0.007,0.3425161502098497,0.073286052009,0.795918367347,0.102040816327,0.864661654135,0.09022556391,0.901960784314,0.06162464986,0.841145833333,0.0703125,0.8382687927,0.9005681818,0.5862068966,0.8607305936,0.9106628242,0.6703296703,0.8907284768,0.906374502,0.8137254902,0.9151291513,0.317373461,0.2051983584,0.1450068399,0.75,12000.0,13142.0,7500.0,12000.0,12000.0,592.0,392.0,200.0,275.0,317.0,80258.132695,44004.0,11940.470588,73.4300003051757,11.2399997711181,6.59999990463257,12.4099998474121,22.2199993133544,16.25,82.5400009155273,75345.96,7.76999998092651,3.52999997138977,1,0.501,0.499,2.0,0.1981,0.0568,765.0
