,MN_EARN_WNE_P6
1334,31200.0
1777,38000.0
65,25200.0
177,40500.0
4721,32035.23115463448
2476,36300.0
2888,47100.0
26,27000.0
2459,36600.0
525,67800.0
4836,32035.23115463448
1253,27500.0
3690,23400.0
1145,22000.0
2045,34800.0
321,28400.0
1989,19600.0
664,33200.0
1907,29200.0
4887,32035.23115463448
2106,32700.0
3715,32035.23115463448
3721,46400.0
332,26200.0
3064,40300.0
2824,30800.0
1669,37100.0
1571,39900.0
598,28000.0
4516,18300.0
386,38400.0
2165,31900.0
1459,51700.0
1750,30800.0
4113,42000.0
3516,42700.0
1793,73600.0
228,73200.0
1028,32035.23115463448
4768,32035.23115463448
498,25900.0
1859,64900.0
902,37000.0
3818,32035.23115463448
701,36800.0
3159,28500.0
2444,14900.0
2680,44700.0
4734,20600.0
2932,29900.0
4187,32035.23115463448
1237,26000.0
4497,20600.0
1238,31800.0
4081,24000.0
5001,24100.0
3913,26100.0
2769,32700.0
4761,37600.0
2938,39300.0
1768,35700.0
2611,49600.0
4130,23700.0
138,25000.0
3846,22900.0
4021,27500.0
2018,31500.0
4009,23400.0
4219,27500.0
4623,18900.0
2930,26900.0
4437,32035.23115463448
3306,18700.0
580,39700.0
912,18500.0
3759,18600.0
367,21400.0
3315,19300.0
3931,32035.23115463448
1578,35000.0
3396,28500.0
3659,24900.0
3305,14800.0
4738,29400.0
2040,34800.0
3289,18400.0
3078,28400.0
3706,64500.0
110,23900.0
3747,27400.0
3694,19900.0
2073,23200.0
2569,32400.0
1089,28400.0
929,38300.0
1338,25000.0
4704,32035.23115463448
4698,32035.23115463448
936,32800.0
3525,17600.0
3841,26600.0
4976,34600.0
1250,50100.0
4532,32035.23115463448
2975,30300.0
2257,30900.0
3973,26500.0
4579,32035.23115463448
2196,35600.0
2695,16700.0
4421,32035.23115463448
2914,29400.0
4204,34300.0
705,25600.0
1197,29500.0
3411,31400.0
3059,36200.0
434,17000.0
3783,30900.0
3926,23100.0
383,58500.0
4319,32035.23115463448
2247,32900.0
5002,28800.0
1884,19500.0
3248,37500.0
1678,19300.0
432,37300.0
739,39000.0
4814,32035.23115463448
1796,42200.0
2916,32035.23115463448
4329,32035.23115463448
4848,32035.23115463448
1676,28500.0
3507,24100.0
3259,49600.0
3,40300.0
4515,21400.0
2927,30600.0
7,36200.0
2993,34100.0
1815,16500.0
1991,21600.0
403,25700.0
4647,32035.23115463448
50,34500.0
2290,46000.0
2101,27500.0
4430,32035.23115463448
558,32500.0
726,22800.0
4109,32035.23115463448
3231,28300.0
1151,28900.0
4095,30900.0
1727,44900.0
545,43700.0
3035,39400.0
2513,18500.0
1614,29700.0
1071,45700.0
3940,27300.0
716,22800.0
4544,32035.23115463448
4927,32035.23115463448
1396,47500.0
1231,46700.0
3611,20200.0
1745,30700.0
318,23900.0
3888,52100.0
1672,29300.0
3429,17100.0
2565,38200.0
4911,32035.23115463448
1587,25300.0
427,27700.0
4324,32035.23115463448
3467,40500.0
480,21600.0
4688,32035.23115463448
546,26000.0
1298,38300.0
262,44000.0
1720,23000.0
2445,20000.0
3401,28700.0
666,23500.0
171,48300.0
1176,46400.0
3192,30100.0
1077,37900.0
4940,32035.23115463448
2698,34900.0
686,31100.0
4550,32035.23115463448
2093,49400.0
693,26700.0
3848,28200.0
4360,32035.23115463448
4307,32035.23115463448
2273,33500.0
3323,32035.23115463448
2641,45400.0
3465,26000.0
4485,32035.23115463448
3886,28700.0
3361,31000.0
3730,33400.0
781,32200.0
4112,21300.0
4709,35700.0
541,38400.0
711,36500.0
4555,32035.23115463448
3577,30700.0
4524,22600.0
630,22600.0
254,26800.0
3969,30400.0
3930,25800.0
882,38500.0
4100,26200.0
2105,30100.0
1240,30000.0
3579,27900.0
4943,32035.23115463448
1896,36800.0
1171,37200.0
4666,32035.23115463448
4979,31800.0
2374,36900.0
2070,31800.0
4607,25400.0
588,21100.0
790,29500.0
2891,29900.0
1144,32035.23115463448
1329,82200.0
2387,29200.0
4862,32035.23115463448
3521,32600.0
4229,18500.0
75,29100.0
2065,48500.0
4736,25000.0
3532,19200.0
3300,18700.0
4236,29100.0
554,26400.0
1977,30000.0
1466,36900.0
4788,32035.23115463448
1735,33000.0
1101,32035.23115463448
2804,21100.0
2098,25100.0
4653,32035.23115463448
1914,19800.0
945,21300.0
2523,37600.0
4893,32035.23115463448
842,31900.0
1771,21600.0
2369,45400.0
4098,20700.0
3408,22500.0
3883,49800.0
3455,38600.0
968,22300.0
2418,18200.0
3006,33700.0
1281,38100.0
225,31900.0
3819,23900.0
755,31700.0
4383,38400.0
4177,28700.0
2305,39000.0
3670,14100.0
4686,32035.23115463448
845,18800.0
572,46900.0
3836,29800.0
4248,25500.0
2088,26300.0
1131,25000.0
4505,28700.0
1624,27000.0
4190,32035.23115463448
154,32035.23115463448
476,29500.0
4842,32035.23115463448
4080,24000.0
81,27400.0
1039,28700.0
1690,69600.0
4038,20500.0
2743,38800.0
1651,33100.0
551,27500.0
4833,32035.23115463448
4963,31200.0
1087,38900.0
2090,24100.0
382,42100.0
1099,26700.0
3213,54700.0
2236,32600.0
482,45200.0
4252,32035.23115463448
3963,32035.23115463448
4061,24700.0
2188,33900.0
3470,23500.0
918,35900.0
984,28100.0
4349,26400.0
473,54100.0
2640,48400.0
1120,25700.0
4169,17200.0
4966,31200.0
89,28700.0
850,34900.0
3490,25000.0
4716,32035.23115463448
2320,32035.23115463448
297,26100.0
3317,19300.0
527,28300.0
4381,18300.0
442,42700.0
72,27000.0
2950,30400.0
1684,36300.0
2321,41500.0
1138,38000.0
3133,32500.0
3185,27900.0
1881,31300.0
2330,33900.0
1006,43600.0
4796,27500.0
